Dataset,Seed,Final_Energy,Cost,Final_Lower_Bound,GPU_Compute_Time_ms
bitcoinotc,1,-1952.7,-1924.0,-2281.11,171
bitcoinotc,2,-1949.67,-1942.0,-2284.51,150
bitcoinotc,3,-1945.74,-1921.0,-2283.93,154
bitcoinotc,4,-1950.55,-1925.0,-2282.22,164
bitcoinotc,5,-1947.43,-1924.0,-2283.88,139
bitcoinotc,6,-1947.2,-1921.0,-2281.02,157
bitcoinotc,7,-1953.09,-1928.0,-2282.54,154
bitcoinotc,8,-1953.55,-1929.0,-2284.25,157
bitcoinotc,9,-1954.46,-1933.0,-2281.13,163
bitcoinotc,10,-1945.74,-1923.0,-2281.81,185
bitcoinotc,11,-1958.16,-1933.0,-2284.26,165
bitcoinotc,12,-1939.98,-1913.0,-2285.13,163
bitcoinotc,13,-1954.37,-1929.0,-2285.9,167
bitcoinotc,14,-1946.47,-1922.0,-2285.67,170
bitcoinotc,15,-1950.19,-1939.0,-2283.38,148
bitcoinotc,16,-1938.13,-1922.0,-2282.26,163
bitcoinotc,17,-1950.52,-1931.0,-2280.4,158
bitcoinotc,18,-1893.25,-1859.0,-2282.65,166
bitcoinotc,19,-1947.59,-1923.0,-2283.56,150
bitcoinotc,20,-1951.17,-1938.0,-2280.3,166
bitcoinotc,21,-1952.11,-1930.0,-2282.09,165
bitcoinotc,22,-1948.09,-1923.0,-2280.47,159
bitcoinotc,23,-1923.78,-1895.0,-2279.86,234
bitcoinotc,24,-1947.39,-1919.0,-2283.77,133
bitcoinotc,25,-1941.45,-1931.0,-2283.11,153
bitcoinotc,26,-1950.59,-1926.0,-2283.33,150
bitcoinotc,27,-1944.33,-1923.0,-2283.91,167
bitcoinotc,28,-1958.99,-1935.0,-2284.63,166
bitcoinotc,29,-1946.33,-1922.0,-2284.11,140
bitcoinotc,30,-1947.93,-1919.0,-2281.84,173
bitcoinotc,31,-1942.79,-1932.0,-2284.98,157
bitcoinotc,32,-1950.4,-1930.0,-2283.98,169
bitcoinotc,33,-1950.82,-1927.0,-2284.23,167
bitcoinotc,34,-1957.33,-1936.0,-2284.19,148
bitcoinotc,35,-1953.85,-1932.0,-2282.91,183
bitcoinotc,36,-1944.57,-1932.0,-2284.38,167
bitcoinotc,37,-1946.98,-1917.0,-2282.03,215
bitcoinotc,38,-1946.3,-1926.0,-2283.2,161
bitcoinotc,39,-1947.03,-1934.0,-2281.18,155
bitcoinotc,40,-1945.48,-1919.0,-2280.74,133
bitcoinotc,41,-1948.27,-1922.0,-2284.49,151
bitcoinotc,42,-1953.54,-1929.0,-2284.51,130
bitcoinotc,43,-1956.22,-1945.0,-2282.47,147
bitcoinotc,44,-1941.9,-1918.0,-2284.05,147
bitcoinotc,45,-1956.53,-1928.0,-2280.73,151
bitcoinotc,46,-1951.76,-1930.0,-2285.59,171
bitcoinotc,47,-1948.61,-1934.0,-2284.83,167
bitcoinotc,48,-1921.66,-1895.0,-2281.01,137
bitcoinotc,49,-1942.42,-1933.0,-2282.64,157
bitcoinotc,50,-1952.41,-1927.0,-2285.0,153
bundestag,1,-56771.3,-55267.0,-70011.2,262
bundestag,2,-59301.5,-57751.0,-70019.2,241
bundestag,3,-59238.1,-57096.0,-70059.1,327
bundestag,4,-56710.3,-52057.0,-70006.7,243
bundestag,5,-62485.7,-61470.0,-69993.4,251
bundestag,6,-61538.9,-60537.0,-70028.0,260
bundestag,7,-58660.2,-56863.0,-69986.1,247
bundestag,8,-58790.5,-56998.0,-69925.9,238
bundestag,9,-59359.0,-57740.0,-70042.3,250
bundestag,10,-59874.2,-57009.0,-69912.5,264
bundestag,11,-59164.0,-57219.0,-69937.5,326
bundestag,12,-59632.1,-56632.0,-69987.7,222
bundestag,13,-59991.3,-58673.0,-69958.9,291
bundestag,14,-60637.4,-59273.0,-69950.6,241
bundestag,15,-60331.9,-59000.0,-69996.6,333
bundestag,16,-62589.2,-61686.0,-69991.4,251
bundestag,17,-60373.4,-59448.0,-70066.8,230
bundestag,18,-58243.7,-57008.0,-69942.7,257
bundestag,19,-59726.5,-58218.0,-69891.3,248
bundestag,20,-58760.7,-57600.0,-69969.6,332
bundestag,21,-61366.7,-60495.0,-70029.8,229
bundestag,22,-61403.4,-60164.0,-69965.1,226
bundestag,23,-62013.3,-60893.0,-70043.1,219
bundestag,24,-59290.5,-57995.0,-70058.0,320
bundestag,25,-58740.0,-57745.0,-70132.7,383
bundestag,26,-59254.3,-57222.0,-70022.1,341
bundestag,27,-62068.6,-60618.0,-69953.1,224
bundestag,28,-61014.4,-59620.0,-69953.1,250
bundestag,29,-59626.8,-58107.0,-70008.2,262
bundestag,30,-60277.8,-59324.0,-70018.0,254
bundestag,31,-59171.4,-57577.0,-69845.0,255
bundestag,32,-59041.4,-57206.0,-70094.6,229
bundestag,33,-60539.0,-59364.0,-70033.1,306
bundestag,34,-61076.3,-59994.0,-70035.1,251
bundestag,35,-59007.6,-57500.0,-69974.9,262
bundestag,36,-59253.6,-55947.0,-69996.5,260
bundestag,37,-62299.0,-61119.0,-69980.7,216
bundestag,38,-57561.2,-55603.0,-70011.3,269
bundestag,39,-62527.4,-61750.0,-70026.0,356
bundestag,40,-60632.6,-59081.0,-69975.6,247
bundestag,41,-52693.1,-51049.0,-69936.4,296
bundestag,42,-60678.8,-59678.0,-70001.8,240
bundestag,43,-61148.1,-59893.0,-70105.3,240
bundestag,44,-59599.9,-58311.0,-70101.8,291
bundestag,45,-59517.6,-58156.0,-70049.6,238
bundestag,46,-57963.7,-56715.0,-69995.0,257
bundestag,47,-60554.1,-59211.0,-70036.3,323
bundestag,48,-61086.5,-60052.0,-69963.8,304
bundestag,49,-61410.8,-59996.0,-70028.2,293
bundestag,50,-60296.2,-58974.0,-69993.0,228
chess,1,-8145.76,-484.0,-9771.5,146
chess,2,-8132.51,-515.0,-9772.07,146
chess,3,-8142.01,-509.0,-9772.12,184
chess,4,-8142.81,-502.0,-9773.97,164
chess,5,-8135.65,-497.0,-9772.27,148
chess,6,-8137.8,-464.0,-9771.97,175
chess,7,-8131.9,-501.0,-9773.16,157
chess,8,-8139.99,-478.0,-9772.65,165
chess,9,-8138.27,-500.0,-9772.0,164
chess,10,-8138.06,-518.0,-9772.56,157
chess,11,-8131.14,-495.0,-9774.09,169
chess,12,-8139.72,-454.0,-9772.01,141
chess,13,-8136.07,-499.0,-9770.81,153
chess,14,-8147.26,-488.0,-9773.66,146
chess,15,-8143.84,-504.0,-9772.2,167
chess,16,-8138.32,-461.0,-9772.03,157
chess,17,-8125.89,-497.0,-9773.67,253
chess,18,-8137.31,-481.0,-9772.29,144
chess,19,-8126.22,-528.0,-9772.46,147
chess,20,-8139.13,-509.0,-9772.39,142
chess,21,-8140.25,-501.0,-9772.37,152
chess,22,-8144.23,-511.0,-9772.86,215
chess,23,-8138.55,-496.0,-9772.59,151
chess,24,-8145.72,-496.0,-9772.29,144
chess,25,-8131.7,-509.0,-9771.03,167
chess,26,-8131.17,-502.0,-9772.35,175
chess,27,-8145.75,-492.0,-9773.67,126
chess,28,-8145.81,-487.0,-9772.0,143
chess,29,-8131.72,-495.0,-9771.97,146
chess,30,-8139.19,-501.0,-9771.29,165
chess,31,-8132.16,-464.0,-9771.93,151
chess,32,-8137.08,-480.0,-9772.4,158
chess,33,-8139.38,-501.0,-9770.99,151
chess,34,-8144.51,-486.0,-9772.8,236
chess,35,-8141.66,-512.0,-9772.74,272
chess,36,-8144.41,-508.0,-9770.95,253
chess,37,-8141.23,-517.0,-9771.41,150
chess,38,-8139.05,-493.0,-9772.28,166
chess,39,-8136.3,-491.0,-9772.32,152
chess,40,-8144.91,-517.0,-9773.2,146
chess,41,-8142.3,-533.0,-9772.95,154
chess,42,-8145.34,-505.0,-9771.77,149
chess,43,-8130.43,-463.0,-9771.52,223
chess,44,-8125.89,-532.0,-9772.67,152
chess,45,-8133.52,-469.0,-9771.25,165
chess,46,-8141.9,-482.0,-9772.03,145
chess,47,-8141.83,-509.0,-9772.06,161
chess,48,-8136.59,-489.0,-9772.5,199
chess,49,-8143.04,-549.0,-9771.84,222
chess,50,-8135.93,-530.0,-9772.06,223
elec,1,-7570.73,-7150.0,-10204.3,176
elec,2,-7617.01,-7351.0,-10193.5,183
elec,3,-7594.4,-7297.0,-10206.9,199
elec,4,-7530.48,-7268.0,-10199.6,180
