Dataset,Seed,Cut_Value
bitcoinotc,1,-1960
bitcoinotc,2,-1960
bitcoinotc,3,-1960
bitcoinotc,4,-1960
bitcoinotc,5,-1960
bitcoinotc,6,-1960
bitcoinotc,7,-1960
bitcoinotc,8,-1960
bitcoinotc,9,-1960
bitcoinotc,10,-1960
bitcoinotc,11,-1960
bitcoinotc,12,-1960
bitcoinotc,13,-1960
bitcoinotc,14,-1960
bitcoinotc,15,-1960
bitcoinotc,16,-1960
bitcoinotc,17,-1960
bitcoinotc,18,-1960
bitcoinotc,19,-1960
bitcoinotc,20,-1960
bitcoinotc,21,-1960
bitcoinotc,22,-1960
bitcoinotc,23,-1960
bitcoinotc,24,-1960
bitcoinotc,25,-1960
bitcoinotc,26,-1960
bitcoinotc,27,-1960
bitcoinotc,28,-1960
bitcoinotc,29,-1960
bitcoinotc,30,-1960
bitcoinotc,31,-1960
bitcoinotc,32,-1960
bitcoinotc,33,-1960
bitcoinotc,34,-1960
bitcoinotc,35,-1960
bitcoinotc,36,-1960
bitcoinotc,37,-1960
bitcoinotc,38,-1960
bitcoinotc,39,-1960
bitcoinotc,40,-1960
bitcoinotc,41,-1960
bitcoinotc,42,-1960
bitcoinotc,43,-1960
bitcoinotc,44,-1960
bitcoinotc,45,-1960
bitcoinotc,46,-1960
bitcoinotc,47,-1960
bitcoinotc,48,-1960
bitcoinotc,49,-1960
bitcoinotc,50,-1960
bundestag,1,-64816
bundestag,2,-64816
bundestag,3,-64816
bundestag,4,-64816
bundestag,5,-64816
bundestag,6,-64816
bundestag,7,-64816
bundestag,8,-64816
bundestag,9,-64816
bundestag,10,-64816
bundestag,11,-64816
bundestag,12,-64816
bundestag,13,-64816
bundestag,14,-64816
bundestag,15,-64816
bundestag,16,-64816
bundestag,17,-64816
bundestag,18,-64816
bundestag,19,-64816
bundestag,20,-64816
bundestag,21,-64816
bundestag,22,-64816
bundestag,23,-64816
bundestag,24,-64816
bundestag,25,-64816
bundestag,26,-64816
bundestag,27,-64816
bundestag,28,-64816
bundestag,29,-64816
bundestag,30,-64816
bundestag,31,-64816
bundestag,32,-64816
bundestag,33,-64816
bundestag,34,-64816
bundestag,35,-64816
bundestag,36,-64816
bundestag,37,-64816
bundestag,38,-64816
bundestag,39,-64816
bundestag,40,-64816
bundestag,41,-64816
bundestag,42,-64816
bundestag,43,-64816
bundestag,44,-64816
bundestag,45,-64816
bundestag,46,-64816
bundestag,47,-64816
bundestag,48,-64816
bundestag,49,-64816
bundestag,50,-64816
chess,1,-4624
chess,2,-4616
chess,3,-4618
chess,4,-4641
chess,5,-4648
chess,6,-4643
chess,7,-4618
chess,8,-4637
chess,9,-4627
chess,10,-4621
chess,11,-4645
chess,12,-4606
chess,13,-4629
chess,14,-4607
chess,15,-4632
chess,16,-4625
chess,17,-4631
chess,18,-4628
chess,19,-4631
chess,20,-4640
chess,21,-4616
chess,22,-4644
chess,23,-4640
chess,24,-4637
chess,25,-4632
chess,26,-4631
chess,27,-4636
chess,28,-4654
chess,29,-4645
chess,30,-4632
chess,31,-4654
chess,32,-4631
chess,33,-4622
chess,34,-4635
chess,35,-4628
chess,36,-4633
chess,37,-4650
chess,38,-4624
chess,39,-4622
chess,40,-4650
chess,41,-4679
chess,42,-4644
chess,43,-4627
chess,44,-4638
chess,45,-4635
chess,46,-4630
chess,47,-4648
chess,48,-4635
chess,49,-4653
chess,50,-4680
elec,1,-7737
elec,2,-7735
elec,3,-7737
elec,4,-7735
elec,5,-7735
elec,6,-7735
elec,7,-7735
elec,8,-7737
elec,9,-7737
elec,10,-7735
elec,11,-7737
elec,12,-7735
elec,13,-7735
elec,14,-7735
elec,15,-7735
elec,16,-7735
elec,17,-7737
elec,18,-7735
elec,19,-7737
elec,20,-7737
elec,21,-7735
elec,22,-7735
elec,23,-7735
elec,24,-7735
elec,25,-7737
elec,26,-7735
elec,27,-7735
elec,28,-7735
elec,29,-7735
elec,30,-7735
elec,31,-7735
elec,32,-7735
elec,33,-7737
elec,34,-7737
elec,35,-7735
elec,36,-7737
elec,37,-7737
elec,38,-7737
elec,39,-7735
elec,40,-7737
elec,41,-7737
elec,42,-7737
elec,43,-7737
elec,44,-7735
elec,45,-7735
elec,46,-7735
elec,47,-7735
elec,48,-7737
elec,49,-7735
elec,50,-7737
epinions,1,-71366
epinions,2,-71368
epinions,3,-71366
epinions,4,-71373
epinions,5,-71360
epinions,6,-71342
epinions,7,-71369
epinions,8,-71356
epinions,9,-71351
epinions,10,-71365
epinions,11,-71362
epinions,12,-71355
epinions,13,-71353
epinions,14,-71356
epinions,15,-71366
epinions,16,-71345
epinions,17,-71345
epinions,18,-71370
epinions,19,-71349
epinions,20,-71352
epinions,21,-71369
epinions,22,-71359
epinions,23,-71359
epinions,24,-71367
epinions,25,-71365
epinions,26,-71363
epinions,27,-71370
epinions,28,-71359
epinions,29,-71363
epinions,30,-71366
epinions,31,-71365
epinions,32,-71363
epinions,33,-71356
epinions,34,-71346
epinions,35,-71320
epinions,36,-71360
epinions,37,-71360
epinions,38,-71377
epinions,39,-71373
epinions,40,-71363
epinions,41,-71354
epinions,42,-71381
epinions,43,-71365
epinions,44,-71365
epinions,45,-71368
epinions,46,-71362
epinions,47,-71370
epinions,48,-71330
epinions,49,-71382
epinions,50,-71345
slashdot,1,-50189
slashdot,2,-50075
slashdot,3,-50141
slashdot,4,-49605
slashdot,5,-50117
slashdot,6,-50103
slashdot,7,-50117
slashdot,8,-50190
slashdot,9,-49613
slashdot,10,-50139
slashdot,11,-50077
slashdot,12,-50185
slashdot,13,-50194
slashdot,14,-50142
slashdot,15,-50139
slashdot,16,-49865
slashdot,17,-50181
slashdot,18,-50073
slashdot,19,-49621
slashdot,20,-50176
slashdot,21,-50071
slashdot,22,-50166
slashdot,23,-50102
slashdot,24,-50179
slashdot,25,-50196
slashdot,26,-50180
slashdot,27,-50181
slashdot,28,-50171
slashdot,29,-50162
slashdot,30,-49935
slashdot,31,-50068
slashdot,32,-49998
slashdot,33,-50157
slashdot,34,-50000
slashdot,35,-50178
slashdot,36,-49588
slashdot,37,-49585
slashdot,38,-50049
slashdot,39,-50186
slashdot,40,-50154
slashdot,41,-50188
slashdot,42,-50163
slashdot,43,-50130
slashdot,44,-50190
slashdot,45,-50187
slashdot,46,-50173
