instance, struct, config, seed, edge_weight,current, best_batch, best,best_plus_negative_edge_weight, epochs_since_restart, current_temp, runtime_ms
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters2.json, 1, 21434, 1220, 1217, 1217, -1933, 50, 0, 239
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters2.json, 1, 21434, 1218, 1217, 1217, -1935, 50, 0, 293
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters4.json, 1, 21434, 1198, 1197, 1197, -1955, 50, 0, 281
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters4.json, 1, 21434, 1201, 1197, 1197, -1952, 50, 0, 329
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters10.json, 1, 21434, 1206, 1205, 1205, -1947, 50, 0, 473
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters8.json, 1, 21434, 1204, 1204, 1204, -1949, 50, 0, 431
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters2.json, 1, 21434, 1217, 1217, 1217, -1936, 50, 0.0026332860742310452, 511
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters6.json, 1, 21434, 1199, 1196, 1196, -1954, 50, 0, 538
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters2.json, 1, 21434, 1227, 1227, 1227, -1926, 50, 0.0005199472430198486, 668
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters14.json, 1, 21434, 1206, 1205, 1205, -1947, 50, 0, 730
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters4.json, 1, 21434, 1199, 1196, 1196, -1954, 50, 0.0003465968321970311, 693
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters12.json, 1, 21434, 1207, 1204, 1204, -1946, 50, 0, 756
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters8.json, 1, 21434, 1203, 1203, 1203, -1950, 50, 0, 755
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters4.json, 1, 21434, 1195, 1195, 1195, -1958, 50, 0.0017553484970824146, 793
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters6.json, 1, 21434, 1195, 1195, 1195, -1958, 50, 0, 803
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters10.json, 1, 21434, 1208, 1203, 1203, -1945, 50, 0, 956
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters12.json, 1, 21434, 1205, 1205, 1205, -1948, 50, 0, 1042
bitcoinotc_signed.json, config_gaia_chunks_100.json, clusters16.json, 1, 21434, 1206, 1205, 1205, -1947, 50, 0, 1096
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters6.json, 1, 21434, 1198, 1197, 1197, -1955, 50, 0.000009007668045238394, 1104
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters10.json, 1, 21434, 1207, 1207, 1207, -1946, 50, 0.0007799988644162146, 1208
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters6.json, 1, 21434, 1211, 1208, 1208, -1942, 50, 0.0011701153081551375, 1163
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters8.json, 1, 21434, 1213, 1211, 1211, -1940, 50, 0.0011701153081551375, 1154
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters10.json, 1, 21434, 1204, 1202, 1202, -1949, 50, 0.0011701153081551375, 1304
bitcoinotc_signed.json, config_venus_chunks_100.json, intervals4.json, 1, 21434, 845, 844, 844, -2308, 50, 0.0002310414483425409, 1178
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters14.json, 1, 21434, 1206, 1203, 1203, -1947, 50, 0, 1445
bitcoinotc_signed.json, config_gaia_chunks_10.json, clusters16.json, 1, 21434, 1207, 1203, 1203, -1946, 50, 0, 1436
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters12.json, 1, 21434, 1208, 1207, 1207, -1945, 50, 0.0007799988644162146, 1566
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters8.json, 1, 21434, 1203, 1201, 1201, -1950, 50, 0.000045619564567855124, 1695
bitcoinotc_signed.json, config_gaia_chunks_100.json, intervals4.json, 1, 21434, 778, 776, 776, -2375, 50, 0, 1789
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 21434, 797, 789, 789, -2356, 50, 0, 1878
bitcoinotc_signed.json, config_venus_chunks_10.json, clusters14.json, 1, 21434, 1211, 1208, 1208, -1942, 50, 0.0007799988644162146, 2094
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 21434, 753, 742, 742, -2400, 50, 0, 2049
bitcoinotc_signed.json, config_venus_chunks_100.json, clusters16.json, 1, 21434, 1208, 1208, 1208, -1945, 50, 0.0011701153081551375, 2220
