instance, struct, config, seed, edge_weight,current, best_batch, best,best_plus_negative_edge_weight, epochs_since_restart, current_temp, runtime_ms
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 21434, 797, 789, 789, -2356, 50, 0, 1488
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals4.json, 1, 21434, 871, 856, 856, -2282, 50, 0.000000526828836222875, 2166
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 21434, 753, 742, 742, -2400, 50, 0, 2466
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 21434, 802, 796, 796, -2351, 50, 0.00001351285335319291, 2705
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 21434, 762, 754, 754, -2391, 50, 0, 2776
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 21434, 784, 767, 767, -2369, 50, 0.000045619564567855124, 3262
chess_signed.json, config_venus_chunks_10.json, intervals4.json, 1, 32650, 7340, 7333, 7333, -6264, 50, 0.000000000006164504860419421, 4895
bundestag_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 397497, 3825, 3819, 3819, -72716, 50, 0, 4765
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 21434, 753, 747, 747, -2400, 50, 0, 5354
chess_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 32650, 7331, 7306, 7306, -6273, 50, 0, 6149
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 21434, 777, 760, 760, -2376, 50, 0.00000000000002108688987091221, 6236
chess_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 32650, 6552, 6525, 6525, -7052, 50, 0.0000000012012936408901694, 7744
chess_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 32650, 6577, 6566, 6566, -7027, 50, 0, 8596
chess_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 32650, 6485, 6478, 6478, -7119, 50, 0, 8847
chess_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 32650, 6555, 6536, 6536, -7049, 50, 0.00000010402333556464369, 9140
bundestag_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 397497, 2723, 2723, 2723, -73818, 50, 0, 9418
bundestag_signed.json, config_venus_chunks_10.json, intervals4.json, 1, 397497, 3820, 3819, 3819, -72721, 50, 0.0026332860742310452, 9653
elec_signed.json, config_gaia_chunks_10.json, intervals4.json, 1, 100355, 12215, 12196, 12196, -9700, 50, 0, 9717
elec_signed.json, config_venus_chunks_10.json, intervals4.json, 1, 100355, 11940, 11929, 11929, -9975, 50, 0.000000004055582591118235, 9729
chess_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 32650, 6524, 6513, 6513, -7080, 50, 0, 10350
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals4.json, 2, 21434, 832, 826, 826, -2321, 50, 0, 536
chess_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 32650, 6453, 6442, 6442, -7151, 50, 0.00000000000000007213181504373513, 11032
bundestag_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 397497, 2542, 2541, 2541, -73999, 50, 0, 11079
bundestag_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 397497, 11726, 11725, 11725, -64815, 50, 0.04502366839841621, 11098
bundestag_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 397497, 2724, 2723, 2723, -73817, 50, 0, 13076
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 21434, 786, 772, 772, -2367, 50, 0.00001351285335319291, 2137
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 21434, 813, 804, 804, -2340, 50, 0, 4508
elec_signed.json, config_gaia_chunks_10.json, intervals8.json, 1, 100355, 11414, 11410, 11410, -10501, 50, 0, 13906
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals8.json, 2, 21434, 761, 758, 758, -2392, 50, 0, 2927
elec_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 100355, 11438, 11423, 11423, -10477, 50, 0.000000526828836222875, 14290
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals4.json, 2, 21434, 831, 819, 819, -2322, 50, 0.0000000003558320855808919, 3019
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals12.json, 2, 21434, 814, 796, 796, -2339, 50, 0.00000023409932254396388, 4088
bitcoinotc_signed.json, config_gaia_chunks_10.json, intervals16.json, 2, 21434, 764, 754, 754, -2389, 50, 0, 4687
bitcoinotc_signed.json, config_venus_chunks_10.json, intervals16.json, 2, 21434, 792, 782, 782, -2361, 50, 0.0000007903222865629688, 4918
elec_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 100355, 11447, 11418, 11418, -10468, 50, 0.000000000009247682058835016, 16153
bundestag_signed.json, config_gaia_chunks_10.json, intervals4.json, 2, 397497, 3823, 3819, 3819, -72718, 50, 0, 4744
chess_signed.json, config_gaia_chunks_10.json, intervals4.json, 2, 32650, 7393, 7377, 7377, -6211, 50, 0, 3851
bundestag_signed.json, config_gaia_chunks_10.json, intervals8.json, 2, 397497, 11764, 11764, 11764, -64777, 50, 0, 7807
elec_signed.json, config_gaia_chunks_10.json, intervals16.json, 1, 100355, 11945, 11932, 11932, -9970, 50, 0, 22438
chess_signed.json, config_venus_chunks_10.json, intervals4.json, 2, 32650, 7347, 7338, 7338, -6257, 50, 0.0000000027034513552394156, 4134
elec_signed.json, config_gaia_chunks_10.json, intervals12.json, 1, 100355, 11323, 11303, 11303, -10592, 50, 0, 23808
elec_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 100355, 11355, 11339, 11339, -10560, 50, 0.000000000013872910379290454, 24025
bundestag_signed.json, config_venus_chunks_10.json, intervals4.json, 2, 397497, 6627, 6626, 6626, -69914, 50, 0.0017553484970824146, 9770
chess_signed.json, config_venus_chunks_10.json, intervals16.json, 2, 32650, 6540, 6516, 6516, -7064, 50, 0.00000023409932254396388, 9652
chess_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 32650, 6582, 6564, 6564, -7022, 50, 0, 10869
chess_signed.json, config_venus_chunks_10.json, intervals12.json, 2, 32650, 6517, 6498, 6498, -7087, 50, 0.0000000000008113808361320893, 11352
bundestag_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 397497, 2543, 2541, 2541, -73998, 50, 0, 14727
bundestag_signed.json, config_gaia_chunks_10.json, intervals16.json, 2, 397497, 11793, 11793, 11793, -64748, 50, 0, 14225
chess_signed.json, config_gaia_chunks_10.json, intervals8.json, 2, 32650, 6597, 6590, 6590, -7007, 50, 0, 7395
chess_signed.json, config_gaia_chunks_10.json, intervals16.json, 2, 32650, 6571, 6547, 6547, -7033, 50, 0, 14099
bundestag_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 397497, 1002, 1002, 1002, -75539, 50, 0.0026332860742310452, 15032
chess_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 32650, 6528, 6512, 6512, -7076, 50, 0.0000000012012936408901694, 7492
bundestag_signed.json, config_venus_chunks_10.json, intervals12.json, 1, 397497, 11706, 11704, 11704, -64835, 50, 0.0007799988644162146, 30761
elec_signed.json, config_gaia_chunks_10.json, intervals4.json, 2, 100355, 12213, 12191, 12191, -9702, 50, 0, 8094
bundestag_signed.json, config_venus_chunks_10.json, intervals16.json, 1, 397497, 11705, 11705, 11705, -64836, 50, 0.003950324143760944, 33096
elec_signed.json, config_venus_chunks_10.json, intervals4.json, 2, 100355, 11953, 11938, 11938, -9962, 50, 0.00000003081248346209492, 8213
bundestag_signed.json, config_venus_chunks_10.json, intervals16.json, 2, 397497, 11737, 11734, 11734, -64804, 50, 0.04502366839841621, 19798
bundestag_signed.json, config_venus_chunks_10.json, intervals12.json, 2, 397497, 11705, 11704, 11704, -64836, 50, 0.005926078823523769, 24999
elec_signed.json, config_gaia_chunks_10.json, intervals8.json, 2, 100355, 11412, 11398, 11398, -10503, 50, 0, 12040
elec_signed.json, config_venus_chunks_10.json, intervals12.json, 2, 100355, 11823, 11807, 11807, -10092, 50, 0.0000000012012936408901694, 18331
elec_signed.json, config_venus_chunks_10.json, intervals8.json, 2, 100355, 11374, 11368, 11368, -10541, 50, 0.0000000000005408664653656507, 19066
elec_signed.json, config_gaia_chunks_10.json, intervals12.json, 2, 100355, 11392, 11381, 11381, -10523, 50, 0, 27018
elec_signed.json, config_venus_chunks_10.json, intervals16.json, 2, 100355, 11393, 11376, 11376, -10522, 50, 0.0000000000000062460931663811975, 31422
elec_signed.json, config_gaia_chunks_10.json, intervals16.json, 2, 100355, 11327, 11314, 11314, -10588, 50, 0, 35402
slashdot_signed.json, config_venus_chunks_10.json, intervals8.json, 1, 498532, 44808, 44803, 44803, -72791, 50, 0.000009007668045238394, 104778
slashdot_signed.json, config_venus_chunks_10.json, intervals4.json, 1, 498532, 51327, 51306, 51306, -66272, 50, 0.000000006083982284905843, 127335
