instance, config, struct, seed, edge_weight,current, best_batch, best,best_plus_negative_edge_weight, epochs_since_restart, current_temp, runtime_ms
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_gaia_chunks_10.json, intervals8.json, 1, 64087, 14054, 14052, 14052, -23976, 50, 0, 1043
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_gaia_chunks_100.json, intervals8.json, 1, 64087, 14052, 14052, 14052, -23978, 50, 0, 1319
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_gaia_chunks_100.json, intervals8.json, 1, 64087, 11220, 11220, 11220, -28773, 50, 0, 1527
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_gaia_chunks_10.json, intervals8.json, 1, 64087, 11221, 11220, 11220, -28772, 50, 0, 1613
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json, 1, 64087, 5895, 5895, 5895, -36091, 50, 0, 1688
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json, 1, 64087, 5895, 5895, 5895, -36091, 50, 0, 1726
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_venus_chunks_100.json, intervals8.json, 1, 64087, 12845, 12845, 12845, -25185, 50, 0.020006517384432536, 2208
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_gaia_chunks_100.json, intervals8.json, 1, 64225, 20314, 20314, 20314, -15905, 50, 0, 2372
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_gaia_chunks_10.json, intervals8.json, 1, 64225, 20321, 20314, 20314, -15898, 50, 0, 2384
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_gaia_chunks_100.json, intervals8.json, 1, 64225, 25395, 25392, 25392, -8928, 50, 0, 2481
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json, 1, 127569, 0, 0, 0, -83808, 50, 0, 2408
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json, 1, 64087, 0, 0, 0, -41986, 50, 0.04502366839841621, 2582
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_venus_chunks_100.json, intervals8.json, 1, 64087, 6499, 6499, 6499, -33494, 50, 0.04502366839841621, 2615
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_venus_chunks_10.json, intervals8.json, 1, 64087, 1958, 1958, 1958, -40028, 50, 0.04502366839841621, 2624
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_gaia_chunks_10.json, intervals8.json, 1, 127978, 18935, 18931, 18931, -61165, 50, 0, 2577
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_venus_chunks_10.json, intervals8.json, 1, 64087, 6499, 6499, 6499, -33494, 50, 0.030012777354384245, 2737
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_gaia_chunks_100.json, intervals8.json, 1, 128270, 41170, 41167, 41167, -30888, 50, 0, 2750
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_venus_chunks_10.json, intervals8.json, 1, 64087, 12845, 12845, 12845, -25185, 50, 0.020006517384432536, 2853
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_gaia_chunks_100.json, intervals8.json, 1, 127978, 18931, 18931, 18931, -61169, 50, 0, 2832
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json, 1, 127569, 0, 0, 0, -83808, 50, 0, 2817
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_venus_chunks_100.json, intervals8.json, 1, 64225, 19153, 19152, 19152, -17066, 50, 0.008890007236009254, 3088
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_gaia_chunks_10.json, intervals8.json, 1, 128270, 41182, 41169, 41169, -30876, 50, 0, 3106
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_venus_chunks_10.json, intervals8.json, 1, 64225, 19154, 19152, 19152, -17065, 50, 0.003950324143760944, 3393
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_gaia_chunks_10.json, intervals8.json, 1, 127978, 30625, 30625, 30625, -45599, 50, 0, 3468
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_gaia_chunks_100.json, intervals8.json, 1, 64225, 26285, 26285, 26285, -6008, 50, 0, 3913
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.8_disagreement_38241.json, config_gaia_chunks_100.json, intervals8.json, 1, 191789, 45330, 45330, 45330, -68464, 50, 0, 4244
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json, 1, 127569, 0, 0, 0, -83808, 50, 0.10132351758671865, 4581
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_venus_chunks_10.json, intervals8.json, 1, 127978, 12851, 12851, 12851, -67249, 50, 0.06754225682330665, 4623
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_venus_chunks_10.json, intervals8.json, 1, 127569, 0, 0, 0, -83808, 50, 0.10132351758671865, 4649
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_venus_chunks_100.json, intervals8.json, 1, 127978, 25751, 25751, 25751, -50473, 50, 0.04502366839841621, 4778
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_gaia_chunks_10.json, intervals8.json, 1, 64225, 25097, 25084, 25084, -9226, 50, 0, 4883
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_venus_chunks_100.json, intervals8.json, 1, 127978, 12851, 12851, 12851, -67249, 50, 0.06754225682330665, 4802
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_gaia_chunks_100.json, intervals8.json, 1, 127978, 30209, 30208, 30208, -46015, 50, 0, 5005
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.8_disagreement_38241.json, config_gaia_chunks_10.json, intervals8.json, 1, 191789, 45330, 45330, 45330, -68464, 50, 0, 4169
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_venus_chunks_100.json, intervals8.json, 1, 128270, 38403, 38403, 38403, -33655, 50, 0.020006517384432536, 5469
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_gaia_chunks_100.json, intervals8.json, 1, 127886, 50838, 50836, 50836, -17283, 50, 0, 6238
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.8_disagreement_25751.json, config_venus_chunks_10.json, intervals8.json, 1, 127978, 30626, 30625, 30625, -45598, 50, 0.030012777354384245, 6564
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_gaia_chunks_10.json, intervals8.json, 1, 127886, 50846, 50838, 50838, -17275, 50, 0, 6686
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_gaia_chunks_10.json, intervals8.json, 1, 192162, 62077, 62060, 62060, -45975, 50, 0, 6608
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.5_disagreement_32046.json, config_venus_chunks_100.json, intervals8.json, 1, 64225, 26135, 26131, 26131, -6158, 50, 0.000000009126886115970363, 6982
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_venus_chunks_100.json, intervals8.json, 1, 192162, 57716, 57716, 57716, -50336, 50, 0.06754225682330665, 7227
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.9_disagreement_19088.json, config_gaia_chunks_100.json, intervals8.json, 1, 191870, 28616, 28616, 28616, -91644, 50, 0, 5230
synthetic_graph_n-per-int_100_m-frac_0.6_p_0.7_disagreement_57716.json, config_venus_chunks_10.json, intervals8.json, 1, 192162, 57716, 57716, 57716, -50336, 50, 0.04502366839841621, 7422
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_venus_chunks_100.json, intervals8.json, 1, 127886, 50843, 50842, 50842, -17278, 50, 0.0007799988644162146, 7644
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.6_disagreement_51256.json, config_venus_chunks_10.json, intervals8.json, 1, 127886, 50864, 50846, 50846, -17257, 50, 0.0003465968321970311, 7709
