instance,config,struct,seed,edge_weight,current,best_batch,best,best_plus_negative_edge_weight,epochs_since_restart,current_temp,runtime_ms,chunks,algorithm,n_per_int,m_frac,p,true_disagreement,accuracy
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.5_disagreement_1572.json, config_gaia_chunks_10.json, intervals8.json,1,3196,364,359,359,-1265,50,0.0,197,10,gaia,100.0,0.01,0.5,1572.0,0.13
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.7_disagreement_966.json, config_gaia_chunks_10.json, intervals8.json,1,3196,327,308,308,-1492,50,0.0,305,10,gaia,100.0,0.01,0.7,966.0,0.13
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.8_disagreement_640.json, config_gaia_chunks_10.json, intervals8.json,1,3196,296,291,291,-1633,50,0.0,297,10,gaia,100.0,0.01,0.8,640.0,0.15
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.6_disagreement_1276.json, config_gaia_chunks_100.json, intervals8.json,1,3196,345,342,342,-1386,50,0.0,345,100,gaia,100.0,0.01,0.6,1276.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.8_disagreement_640.json, config_venus_chunks_100.json, intervals8.json,1,3196,286,285,285,-1643,50,1.35128533531e-05,339,100,venus,100.0,0.01,0.8,640.0,0.17125
synthetic_graph_n-per-int_100_m-frac_0.01_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,3196,1,1,1,-2112,50,0.0,342,100,gaia,100.0,0.01,1.0,0.0,0.76625
synthetic_graph_n-per-int_100_m-frac_0.025031289111389236_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,7989,474,474,474,-4738,50,0.0,265,100,gaia,100.0,0.025031289111389236,1.0,0.0,0.12625
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.5_disagreement_1572.json, config_venus_chunks_100.json, intervals8.json,1,3196,352,351,351,-1277,50,5.268288362e-07,432,100,venus,100.0,0.01,0.5,1572.0,0.1475
synthetic_graph_n-per-int_100_m-frac_0.01_p_0.6_disagreement_1276.json, config_gaia_chunks_10.json, intervals8.json,1,3196,337,325,325,-1394,50,0.0,419,10,gaia,100.0,0.01,0.6,1276.0,0.135
synthetic_graph_n-per-int_100_m-frac_0.025031289111389236_p_0.9_disagreement_837.json, config_gaia_chunks_100.json, intervals8.json,1,7989,936,936,936,-4027,50,0.0,300,100,gaia,100.0,0.025031289111389236,0.9,837.0,0.12625
