instance,config,struct,seed,edge_weight,current,best_batch,best,best_plus_negative_edge_weight,epochs_since_restart,current_temp,runtime_ms,chunks,algorithm,n_per_int,m_frac,p,true_disagreement,accuracy
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_gaia_chunks_10.json, intervals8.json,1,64087,14054,14052,14052,-23976,50,0.0,1043,10,gaia,100.0,0.2,0.8,12846.0,0.13375
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_gaia_chunks_100.json, intervals8.json,1,64087,14052,14052,14052,-23978,50,0.0,1319,100,gaia,100.0,0.2,0.8,12846.0,0.1325
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_gaia_chunks_100.json, intervals8.json,1,64087,11220,11220,11220,-28773,50,0.0,1527,100,gaia,100.0,0.2,0.9,6499.0,0.12625
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_gaia_chunks_10.json, intervals8.json,1,64087,11221,11220,11220,-28772,50,0.0,1613,10,gaia,100.0,0.2,0.9,6499.0,0.12125
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,64087,5895,5895,5895,-36091,50,0.0,1688,100,gaia,100.0,0.2,1.0,0.0,0.1225
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json,1,64087,5895,5895,5895,-36091,50,0.0,1726,10,gaia,100.0,0.2,1.0,0.0,0.1275
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_venus_chunks_100.json, intervals8.json,1,64087,12845,12845,12845,-25185,50,0.0200065173844325,2208,100,venus,100.0,0.2,0.8,12846.0,0.99875
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_gaia_chunks_100.json, intervals8.json,1,64225,20314,20314,20314,-15905,50,0.0,2372,100,gaia,100.0,0.2,0.7,19194.0,0.38
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.7_disagreement_19194.json, config_gaia_chunks_10.json, intervals8.json,1,64225,20321,20314,20314,-15898,50,0.0,2384,10,gaia,100.0,0.2,0.7,19194.0,0.37625
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.6_disagreement_25624.json, config_gaia_chunks_100.json, intervals8.json,1,64225,25395,25392,25392,-8928,50,0.0,2481,100,gaia,100.0,0.2,0.6,25624.0,0.16625
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_gaia_chunks_10.json, intervals8.json,1,127569,0,0,0,-83808,50,0.0,2408,10,gaia,100.0,0.4,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_venus_chunks_100.json, intervals8.json,1,64087,0,0,0,-41986,50,0.0450236683984162,2582,100,venus,100.0,0.2,1.0,0.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_venus_chunks_100.json, intervals8.json,1,64087,6499,6499,6499,-33494,50,0.0450236683984162,2615,100,venus,100.0,0.2,0.9,6499.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.2_p_1.0_disagreement_0.json, config_venus_chunks_10.json, intervals8.json,1,64087,1958,1958,1958,-40028,50,0.0450236683984162,2624,10,venus,100.0,0.2,1.0,0.0,0.125
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_gaia_chunks_10.json, intervals8.json,1,127978,18935,18931,18931,-61165,50,0.0,2577,10,gaia,100.0,0.4,0.9,12851.0,0.69375
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.9_disagreement_6499.json, config_venus_chunks_10.json, intervals8.json,1,64087,6499,6499,6499,-33494,50,0.0300127773543842,2737,10,venus,100.0,0.2,0.9,6499.0,1.0
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.7_disagreement_38404.json, config_gaia_chunks_100.json, intervals8.json,1,128270,41170,41167,41167,-30888,50,0.0,2750,100,gaia,100.0,0.4,0.7,38404.0,0.24875
synthetic_graph_n-per-int_100_m-frac_0.2_p_0.8_disagreement_12846.json, config_venus_chunks_10.json, intervals8.json,1,64087,12845,12845,12845,-25185,50,0.0200065173844325,2853,10,venus,100.0,0.2,0.8,12846.0,0.99875
synthetic_graph_n-per-int_100_m-frac_0.4_p_0.9_disagreement_12851.json, config_gaia_chunks_100.json, intervals8.json,1,127978,18931,18931,18931,-61169,50,0.0,2832,100,gaia,100.0,0.4,0.9,12851.0,0.69375
synthetic_graph_n-per-int_100_m-frac_0.4_p_1.0_disagreement_0.json, config_gaia_chunks_100.json, intervals8.json,1,127569,0,0,0,-83808,50,0.0,2817,100,gaia,100.0,0.4,1.0,0.0,1.0
