ID,Person
0,Achim Post (Minden)
1,Adis Ahmetovic
2,Agnes Alpers
3,Agnes Brugger
4,Agnes Krumwiede
5,Agnieszka Brugger
6,Albert H. Weiler
7,Albert Rupprecht
8,Albert Rupprecht (Weiden)
9,Albert Stegemann
10,Albert Weiler
11,Albrecht Glaser
12,Albrecht Heinz Erhard Glaser
13,Alexander Bartz
14,Alexander Dobrindt
15,Alexander Engelhard
16,Alexander Funk
17,Alexander Föhr
18,Alexander Graf Lambsdorff
19,Alexander Hoffmann
20,Alexander Krauß
21,Alexander Kulitz
22,Alexander Müller
23,Alexander Radwan
24,Alexander S. Neu
25,Alexander Süßmair
26,Alexander Throm
27,Alexander Ulrich
28,Alexandra Dinges-Dierig
29,Ali Al-Dailami
30,Alois Gerig
31,Alois Karl
32,Alois Rainer
33,Amira Mohamed Ali
34,Ana-Maria Trasnea
35,Andrea Astrid Voßhoff
36,Andrea Lindholz
37,Andrea Nahles
38,Andrea Wicklein
39,Andreas Audretsch
40,Andreas Bleck
41,Andreas G. Lämmel
42,Andreas Jung
43,Andreas Jung (Konstanz)
44,Andreas Larem
45,Andreas Mattfeldt
46,Andreas Mehltretter
47,Andreas Mrosek
48,Andreas Rimkus
49,Andreas Scheuer
50,Andreas Schwarz
51,Andreas Steier
52,Andreas Wagner
53,Andrej Hunko
54,Anette Hübinger
55,Anette Kramme
56,Angela Hohmann
57,Angelika Brunkhorst
58,Angelika Glöckner
59,Angelika Graf (Rosenheim)
60,Angelika Krüger-Leißner
61,Anikó Glogowski-Merten
62,Anikó Merten
63,Anita Schäfer (Saalstadt)
64,Anja Hajduk
65,Anja Karliczek
66,Anja Liebert
67,Anja Schulz
68,Anja Troff-Schaffarzyk
69,Anke Domscheit-Berg
70,Anke Hennig
71,Anna Kassautzki
72,Annalena Baerbock
73,Anne Janssen
74,Anne König
75,Annette Groth
76,Annette Sawade
77,Annette Schavan
78,Annette Widmann-Mauz
79,Annika Klose
80,Ansgar Heveling
81,Antje Lezius
82,Antje Tillmann
83,Anton Schaaf
84,Arfst Wagner (Schleswig)
85,Ariane Fäscher
86,Armand Zorn
87,Armin Laschet
88,Armin Schuster (Weil am Rhein)
89,Armin Schwarz
90,Armin-Paulus Hampel
91,Arno Klare
92,Arnold Vaatz
93,Artur Auernhammer
94,Astrid Damerow
95,Astrid Grotelüschen
96,Astrid Klug
97,Astrid Timmermann-Fechter
98,Ates Gürpinar
99,Awet Tesfaiesus
100,Axel E. Fischer (Karlsruhe-Land)
101,Axel Echeverria
102,Axel Knoerig
103,Axel Müller
104,Axel Schäfer (Bochum)
105,Aydan Özoguz
106,Aydan Özoğuz
107,Azize Tank
108,Barbara Benkstein
109,Barbara Lanzinger
110,Barbara Lenk
111,Barbara Woltmann
112,Bartholomäus Kalb
113,Beate Müller-Gemmeke
114,Beate Walter-Rosenheimer
115,Beatrix Philipp
116,Beatrix von Storch
117,Bela Bach
118,Bengt Bergt
119,Benjamin Strasser
120,Berengar Elsner von Gronow
121,Bernd Neumann (Bremen)
122,Bernd Reuther
123,Bernd Riexinger
124,Bernd Rützel
125,Bernd Schattner
126,Bernd Scheelen
127,Bernd Siebert
128,Bernd Westphal
129,Bernhard Brinkmann (Hildesheim)
130,Bernhard Daldrup
131,Bernhard Herrmann
132,Bernhard Kaster
133,Bernhard Loos
134,Bernhard Schulte-Drüggelte
135,Bettina  Kudla
136,Bettina Bähr-Losse
137,Bettina Hagedorn
138,Bettina Herlitzius
139,Bettina Hornhues
140,Bettina Kudla
141,Bettina Lugk
142,Bettina Margarethe Wiesmann
143,Bettina Müller
144,Bettina Stark-Watzinger
145,Bijan Djir-Sarai
146,Birgit Homburger
147,Birgit Kömpel
148,Birgit Menz
149,Birgit Wöllert
150,Birgitt Bender
151,Birke Bull-Bischoff
152,Björn Simon
153,Björn Sänger
154,Boris Mijatovic
155,Boris Mijatović
156,Brian Nickholz
157,Brigitte Freihold
158,Brigitte Pothmer
159,Brigitte Zypries
160,Britta Haßelmann
161,Britta Katharina Dassler
162,Bruno Hönel
163,Burkhard Blienert
164,Burkhard Lischka
165,Burkhardt Müller-Sönksen
166,Bärbel Bas
167,Bärbel Höhn
168,Cajus Caesar
169,Canan Bayram
170,Cansel Kiziltepe
171,Caren Lay
172,Caren Marks
173,Carina Konrad
174,Carl-Julius Cronenberg
175,Carlos Kasper
176,Carmen Wegge
177,Carola Stauche
178,Carolin Bachmann
179,Carsten Körber
180,Carsten Müller (Braunschweig)
181,Carsten Schneider (Erfurt)
182,Carsten Träger
183,Catarina dos Santos Firnhaber
184,Catarina dos Santos-Wintz
185,Cem Özdemir
186,Cemile Giousouf
187,Chantal Kopf
188,Charles M. Huber
189,Charlotte Schneidewind-Hartnagel
190,Christel Humme
191,Christel Voßbeck-Kayser
192,Christian Ahrendt
193,Christian Bartelt
194,Christian Dürr
195,Christian Flisek
196,Christian Frhr. von Stetten
197,Christian Görke
198,Christian Haase
199,Christian Hirte
200,Christian Kühn (Tübingen)
201,Christian Lange (Backnang)
202,Christian Leye
203,Christian Lindner
204,Christian Natterer
205,Christian Petry
206,Christian Sauter
207,Christian Schmidt (Fürth)
208,Christian Schreider
209,Christina Jantz
210,Christina Jantz-Herrmann
211,Christina Kampmann
212,Christina Schwarzer
213,Christina Stumpp
214,Christina-Johanne Schröder
215,Christine Aschenberg-Dugnus
216,Christine Buchholz
217,Christine Lambrecht
218,Christoph Bernstiel
219,Christoph Matschie
220,Christoph Meyer
221,Christoph Neumann
222,Christoph Poland
223,Christoph Schmid
224,Christoph Schnurr
225,Christoph Strässer
226,Christoph de Vries
227,Christopher Gohl
228,Clara Bünger
229,Claudia Bögel
230,Claudia Moll
231,Claudia Müller
232,Claudia Raffelhüschen
233,Claudia Roth (Augsburg)
234,Claudia Tausend
235,Clemens Binninger
236,Corinna Miazga
237,Corinna Rüffer
238,Cornelia Behm
239,Cornelia Möhring
240,Cornelia Pieper
241,Dagmar Andres
242,Dagmar Freitag
243,Dagmar G. Wöhrl
244,Dagmar Schmidt (Wetzlar)
245,Dagmar Ziegler
246,Daniel Bahr (Münster)
247,Daniel Baldy
248,Daniel Föst
249,Daniel Rinkert
250,Daniel Schneider
251,Daniela Kluckert
252,Daniela Kolbe
253,Daniela Kolbe (Leipzig)
254,Daniela Ludwig
255,Daniela Wagner
256,Deborah Düring
257,Denise Loop
258,Dennis Rohde
259,Derya Türk-Nachbaur
260,Detlef Müller (Chemnitz)
261,Detlef Seif
262,Detlev Pilger
263,Detlev Spangenberg
264,Diana Golze
265,Diana Stöcker
266,Dieter Janecek
267,Dieter Jasper
268,Dieter Stier
269,Dietmar Friedhoff
270,Dietmar Nietan
271,Dietrich Monstadt
272,Dirk Becker
273,Dirk Brandes
274,Dirk Fischer (Hamburg)
275,Dirk Heidenblut
276,Dirk Niebel
277,Dirk Vöpel
278,Dirk Wiese
279,Dirk-Ulrich Mende
280,Doris  Barnett
281,Doris Achelwilm
282,Doris Barnett
283,Doris Wagner
284,Dorothea Steiner
285,Dorothee Bär
286,Dorothee Martin
287,Dorothee Menzner
288,Dr. Achim Kessler
289,Dr. Alexander Gauland
290,Dr. Alexander S. Neu
291,Dr. Alice Weidel
292,Dr. Andre Berghegger
293,Dr. Andre Hahn
294,Dr. Andreas Lenz
295,Dr. Andreas Nick
296,Dr. Andreas Philippi
297,Dr. Andreas Scheuer
298,Dr. Andreas Schockenhoff
299,Dr. Andrew Ullmann
300,Dr. André Berghegger
301,Dr. André Hahn
302,Dr. Angela Merkel
303,Dr. Anja Reinalter
304,Dr. Anja Weisgerber
305,Dr. Ann-Veruschka Jurisch
306,Dr. Anna Christmann
307,Dr. Anna Lührmann
308,Dr. Anne Monika Spallek
309,Dr. Annette Schavan
310,Dr. Anton Friesen
311,Dr. Anton Hofreiter
312,Dr. Armin Grau
313,Dr. Astrid Freudenstein
314,Dr. Astrid Mannes
315,Dr. Axel Gehrke
316,Dr. Axel Troost
317,Dr. Barbara Hendricks
318,Dr. Barbara Höll
319,Dr. Bernd Baumann
320,Dr. Bernd Fabritius
321,Dr. Bettina Hoffmann
322,Dr. Birgit Malecha-Nissen
323,Dr. Birgit Malsack-Winkemann
324,Dr. Birgit Reinemund
325,Dr. Birke Bull-Bischoff
326,Dr. Bruno Hollnagel
327,Dr. Bärbel Kofler
328,Dr. Carola Reimann
329,Dr. Carolin Wagner
330,Dr. Carsten  Sieling
331,Dr. Carsten Brodesser
332,Dr. Carsten Linnemann
333,Dr. Carsten Sieling
334,Dr. Christel Happach-Kasan
335,Dr. Christian Jung
336,Dr. Christian Ruck
337,Dr. Christian Wirth
338,Dr. Christiane Ratjen-Damerau
339,Dr. Christiane Schenderlein
340,Dr. Christina Baum
341,Dr. Christoph Bergner
342,Dr. Christoph Hoffmann
343,Dr. Christoph Ploß
344,Dr. Christopher Gohl
345,Dr. Christos Pantazis
346,Dr. Claudia Lücking-Michel
347,Dr. Claudia Schmidtke
348,Dr. Claudia Winterstein
349,Dr. Dagmar Enkelmann
350,Dr. Daniel Volk
351,Dr. Daniela De Ridder
352,Dr. Danyal Bayaz
353,Dr. Dieter Wiefelspütz
354,Dr. Diether Dehm
355,Dr. Dietlind Tiemann
356,Dr. Dietmar Bartsch
357,Dr. Dirk Spaniel
358,Dr. Dorothee Schlegel
359,Dr. Dr. h. c. Bernd Fabritius
360,Dr. Dr. h. c. Karl A. Lamers
361,Dr. Dr. h.c. Bernd Fabritius
362,Dr. Dr. h.c. Karl A. Lamers
363,Dr. Eberhard Brecht
364,Dr. Edgar Franke
365,Dr. Edmund Peter Geisen
366,Dr. Egon Jüttner
367,Dr. Erik Schweickert
368,Dr. Ernst Dieter Rossmann
369,Dr. Erwin Lotter
370,Dr. Eva Högl
371,Dr. Florian Toncar
372,Dr. Frank Steffel
373,Dr. Frank-Walter Steinmeier
374,Dr. Franz Josef Jung
375,Dr. Franziska Brantner
376,Dr. Franziska Kersten
377,Dr. Franziska Krumwiede-Steiner
378,Dr. Frauke Petry
379,Dr. Frithjof Schmidt
380,Dr. Fritz Felgentreu
381,Dr. Georg Kippels
382,Dr. Georg Nüßlein
383,Dr. Gerd Müller
384,Dr. Gerhard Schick
385,Dr. Gero Clemens Hocker
