Name,17,18,19,20,21
Achim Post (Minden),0,1,1,1,0
Adis Ahmetovic,0,0,0,1,0
Agnes Alpers,1,0,0,0,0
Agnes Brugger,1,0,0,0,0
Agnes Krumwiede,1,0,0,0,0
Agnieszka Brugger,0,1,1,1,0
Albert H. Weiler,0,0,1,0,0
Albert Rupprecht,0,1,1,1,0
Albert Rupprecht (Weiden),1,1,0,0,0
Albert Stegemann,0,1,1,1,0
Albert Weiler,0,1,0,0,0
Albrecht Glaser,0,0,1,1,0
Albrecht Heinz Erhard Glaser,0,0,1,0,0
Alexander Bartz,0,0,0,1,0
Alexander Dobrindt,1,1,1,1,0
Alexander Engelhard,0,0,0,1,0
Alexander Funk,1,1,0,0,0
Alexander Föhr,0,0,0,1,0
Alexander Graf Lambsdorff,0,0,1,1,0
Alexander Hoffmann,0,1,1,1,0
Alexander Krauß,0,0,1,0,0
Alexander Kulitz,0,0,1,0,0
Alexander Müller,0,0,1,1,0
Alexander Radwan,0,1,1,1,0
Alexander S. Neu,0,1,0,0,0
Alexander Süßmair,1,0,0,0,0
Alexander Throm,0,0,1,1,0
Alexander Ulrich,1,1,1,1,0
Alexandra Dinges-Dierig,0,1,0,0,0
Ali Al-Dailami,0,0,0,1,0
Alois Gerig,1,1,1,0,0
Alois Karl,1,1,1,0,0
Alois Rainer,0,1,1,1,0
Amira Mohamed Ali,0,0,1,1,0
Ana-Maria Trasnea,0,0,0,1,0
Andrea Astrid Voßhoff,1,0,0,0,0
Andrea Lindholz,0,1,1,1,0
Andrea Nahles,1,1,1,0,0
Andrea Wicklein,1,1,0,0,0
Andreas Audretsch,0,0,0,1,0
Andreas Bleck,0,0,1,1,0
Andreas G. Lämmel,1,1,1,0,0
Andreas Jung,0,1,1,1,0
Andreas Jung (Konstanz),1,1,0,0,0
Andreas Larem,0,0,0,1,0
Andreas Mattfeldt,1,1,1,1,0
Andreas Mehltretter,0,0,0,1,0
Andreas Mrosek,0,0,1,0,0
Andreas Rimkus,0,1,1,1,0
Andreas Scheuer,0,1,1,1,0
Andreas Schwarz,0,1,1,1,0
Andreas Steier,0,0,1,0,0
Andreas Wagner,0,0,1,0,0
Andrej Hunko,1,1,1,1,0
Anette Hübinger,1,1,0,0,0
Anette Kramme,1,1,1,1,0
Angela Hohmann,0,0,0,1,0
Angelika Brunkhorst,1,0,0,0,0
Angelika Glöckner,0,1,1,1,0
Angelika Graf (Rosenheim),1,0,0,0,0
Angelika Krüger-Leißner,1,1,0,0,0
Anikó Glogowski-Merten,0,0,0,1,0
Anikó Merten,0,0,0,1,0
Anita Schäfer (Saalstadt),1,1,1,0,0
Anja Hajduk,0,1,1,0,0
Anja Karliczek,0,1,1,1,0
Anja Liebert,0,0,0,1,0
Anja Schulz,0,0,0,1,0
Anja Troff-Schaffarzyk,0,0,0,1,0
Anke Domscheit-Berg,0,0,1,1,0
Anke Hennig,0,0,0,1,0
Anna Kassautzki,0,0,0,1,0
Annalena Baerbock,0,1,1,1,0
Anne Janssen,0,0,0,1,0
Anne König,0,0,0,1,0
Annette Groth,1,1,0,0,0
Annette Sawade,1,1,0,0,0
Annette Schavan,0,1,0,0,0
Annette Widmann-Mauz,1,1,1,1,0
Annika Klose,0,0,0,1,0
Ansgar Heveling,1,1,1,1,0
Antje Lezius,0,1,1,0,0
Antje Tillmann,1,1,1,1,0
Anton Schaaf,1,0,0,0,0
Arfst Wagner (Schleswig),1,0,0,0,0
Ariane Fäscher,0,0,0,1,0
Armand Zorn,0,0,0,1,0
Armin Laschet,0,0,0,1,0
Armin Schuster (Weil am Rhein),1,1,1,0,0
Armin Schwarz,0,0,0,1,0
Armin-Paulus Hampel,0,0,1,0,0
Arno Klare,0,1,1,0,0
Arnold Vaatz,1,1,1,0,0
Artur Auernhammer,0,1,1,1,0
Astrid Damerow,0,0,1,1,0
Astrid Grotelüschen,0,1,1,0,0
Astrid Klug,1,0,0,0,0
Astrid Timmermann-Fechter,0,1,0,1,0
Ates Gürpinar,0,0,0,1,0
Awet Tesfaiesus,0,0,0,1,0
Axel E. Fischer (Karlsruhe-Land),1,1,1,0,0
Axel Echeverria,0,0,0,1,0
Axel Knoerig,1,1,1,1,0
Axel Müller,0,0,1,1,0
Axel Schäfer (Bochum),1,1,1,1,0
Aydan Özoguz,1,1,1,1,0
Aydan Özoğuz,0,0,0,1,0
Azize Tank,0,1,0,0,0
Barbara Benkstein,0,0,0,1,0
Barbara Lanzinger,0,1,0,0,0
Barbara Lenk,0,0,0,1,0
Barbara Woltmann,0,1,0,0,0
Bartholomäus Kalb,1,1,0,0,0
Beate Müller-Gemmeke,1,1,1,1,0
Beate Walter-Rosenheimer,1,1,1,1,0
Beatrix Philipp,1,0,0,0,0
Beatrix von Storch,0,0,1,1,0
Bela Bach,0,0,1,0,0
Bengt Bergt,0,0,0,1,0
Benjamin Strasser,0,0,1,1,0
Berengar Elsner von Gronow,0,0,1,0,0
Bernd Neumann (Bremen),1,0,0,0,0
Bernd Reuther,0,0,1,1,0
Bernd Riexinger,0,0,1,1,0
Bernd Rützel,0,1,1,1,0
Bernd Schattner,0,0,0,1,0
Bernd Scheelen,1,0,0,0,0
Bernd Siebert,1,1,1,0,0
Bernd Westphal,0,1,1,1,0
Bernhard Brinkmann (Hildesheim),1,0,0,0,0
