ID,Person
0,Abdi Sanae
1,Abel Valentin
2,Abercron Michael
3,Abraham Knut
4,Achelwilm Doris
5,Ackermann Jens
6,Adler Katja
7,Aeffner Stephanie
8,Aggelidis Grigorios
9,Ahmetovic Adis
10,Ahrendt Christian
11,Aigner Ilse
12,Akbulut Gökay
13,Aken Jan
14,Al-Dailami Ali
15,Al-Halak Muhanad
16,Alabali-Radovan Reem
17,Albani Stephan
18,Albsteiger Katrin
19,Alpers Agnes
20,Alt Renata
21,Altenkamp Norbert
22,Altmaier Peter
23,Amthor Philipp
24,Amtsberg Luise
25,Andreae Kerstin
26,Andres Dagmar
27,Annen Niels
28,Arlt Johannes
29,Arndt-Brauer Ingrid
30,Arnold Rainer
31,Aschenberg-Dugnus Christine
32,Audretsch Andreas
33,Auernhammer Artur
34,Aumer Peter
35,Außendorf Maik
36,Bach Bela
37,Bacherle Tobias
38,Bachmann Carolin
39,Badum Lisa
40,Baehrens Heike
41,Baerbock Annalena
42,Bahr Daniel
43,Bahr Ulrike
44,Baldy Daniel
45,Banaszak Felix
46,Baradari Nezahat
47,Barchmann Heinz-Joachim
48,Bareiß Thomas
49,Barley Katarina
50,Barnett Doris
51,Barrientos Simone
52,Bartels Hans-Peter
53,Bartelt Christian
54,Barthel Klaus
55,Barthle Norbert
56,Bartke Matthias
57,Bartol Sören
58,Bartsch Dietmar
59,Bartz Alexander
60,Bartz Julia
61,Bas Bärbel
62,Bauer Nicole
63,Baum Christina
64,Baumann Bernd
65,Baumann Günter
66,Bause Margarete
67,Bayaz Danyal
68,Bayram Canan
69,Beck Ernst-Reinhard
70,Beck Katharina
71,Beck Marieluise
72,Beck Volker
73,Beckamp Roger
74,Becker Dirk
75,Becker Holger
76,Beckmeyer Uwe
77,Beeck Jens
78,Beer Nicola
79,Beermann Maik
80,Behm Cornelia
81,Behrens Herbert
82,Behrens Manfred
83,Bellmann Veronika
84,Bender Birgitt
85,Benkstein Barbara
86,Benner Lukas
87,Benning Sybille
88,Berghahn Jürgen
89,Berghegger Andre
90,Bergner Christoph
91,Bergt Bengt
92,Bernhard Marc
93,Bernschneider Florian
94,Bernstein Melanie
95,Bernstiel Christoph
96,Bertram Ute
97,Beutin Lorenz
98,Beyer Peter
99,Biadacz Marc
100,Bilger Steffen
101,Binder Karin
102,Binding Lothar
103,Binninger Clemens
104,Birkwald Matthias
105,Blankenburg Jakob
106,Bleck Andreas
107,Bleser Peter
108,Blienert Burkhard
109,Bluhm Heidrun
110,Bluhm-Förster Heidrun
111,Blumenthal Sebastian
112,Bochmann Rene
113,Bockhahn Steffen
114,Bodtke Ingo
115,Boehringer Peter
116,Boginski Friedhelm
117,Bollmann Gerd
118,Bollmann Gereon
119,Borchardt Simone
120,Bosbach Wolfgang
121,Bracht-Bendt Nicole
122,Brackmann Norbert
123,Brand Michael
124,Brandenburg Jens
125,Brandenburg Mario
126,Brandes Dirk
127,Brandl Reinhard
128,Brandner Klaus
129,Brandner Stephan
130,Brandt Helmut
131,Brandt Michel
132,Brantner Franziska
133,Brase Willi
134,Brauksiepe Ralf
135,Braun Helge
136,Braun Jürgen
137,Brecht Eberhard
138,Breher Silvia
139,Brehm Sebastian
140,Brehmer Heike
141,Breil Klaus
142,Breilmann Michael
143,Breymaier Leni
144,Brinkhaus Ralph
145,Brinkmann Bernhard
146,Brodesser Carsten
147,Brugger Agnes
148,Brugger Agnieszka
149,Brunkhorst Angelika
